Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2020-07-08,3.215749979019165,24.55,93.3,23.1
2020-07-09,3.14424991607666,24.04,91.28,22.77
2020-07-10,3.243249893188477,25.47,96.27,24.02
2020-07-13,3.331249952316284,25.41,97.65,24.19
2020-07-14,3.2915000915527344,24.25,98.21,24.14
2020-07-15,3.383500099182129,25.35,99.73,24.6
2020-07-16,3.48075008392334,25.46,100.01,23.93
2020-07-17,3.378499984741211,24.95,98.16,23.22
2020-07-20,3.3122498989105225,24.57,97.3,23.58
2020-07-21,3.4539999961853027,26.2,99.41,24.42
2020-07-22,3.413000106811523,26.26,98.69,24.31
2020-07-23,3.4517500400543213,26.35,98.98,24.54
2020-07-24,3.479249954223633,26.26,98.28,24.35
2020-07-27,3.4184999465942383,25.49,96.9,24.14
2020-07-28,3.409749984741211,25.53,97.32,24.36
2020-07-29,3.410749912261963,25.78,99.68,25.27
2020-07-30,3.396749973297119,24.65,97.02,24.84
2020-07-31,3.381999969482422,24.26,96.64,24.88
2020-08-03,3.423500061035156,24.29,96.1,24.99
2020-08-04,3.3897500038146973,24.22,95.55,25.01
2020-08-05,3.4487500190734863,24.4,97.21,25.39
2020-08-06,3.440999984741211,24.24,97.24,25.47
2020-08-07,3.4462499618530273,25.07,99.38,26.11
2020-08-10,3.6322500705718994,24.7,100.64,26.56
2020-08-11,3.73550009727478,25.32,103.82,26.92
2020-08-12,3.671250104904175,25.19,102.94,26.73
2020-08-13,3.59975004196167,25.02,102.37,26.35
2020-08-14,3.642250061035156,25.3,102.41,26.47
2020-08-17,3.565500020980835,24.47,99.71,25.9
2020-08-18,3.5185000896453857,24.04,98.32,25.53
2020-08-19,3.5092499256134033,24.07,98.55,25.5
2020-08-20,3.4054999351501465,23.75,97.37,25.1
2020-08-21,3.396250009536743,23.64,97.32,24.98
2020-08-24,3.490999937057495,24.49,100.06,25.69
2020-08-25,3.527750015258789,24.61,100.5,26.0
2020-08-26,3.4927499294281006,24.04,99.09,25.56
2020-08-27,3.542249917984009,24.59,102.35,26.05
2020-08-28,3.546750068664551,24.69,102.77,26.3
2020-09-01,3.5199999809265137,24.05,100.14,25.71
2020-09-02,3.525749921798706,24.57,101.65,26.02
2020-09-03,3.5487499237060547,24.52,101.33,25.66
2020-09-04,3.5567500591278076,24.79,103.52,26.54
2020-09-08,3.4670000076293945,23.97,99.92,25.48
2020-09-09,3.470249891281128,23.84,100.87,25.51
2020-09-10,3.475500106811523,23.95,99.83,25.14
2020-09-11,3.4342501163482666,24.27,101.07,25.5
2020-09-14,3.5477499961853027,24.81,102.47,25.75
2020-09-15,3.479249954223633,24.88,99.28,25.28
2020-09-16,3.5339999198913574,25.71,99.7,25.6
2020-09-17,3.4774999618530273,25.11,98.56,25.35
2020-09-18,3.468250036239624,25.13,98.35,25.21
2020-09-21,3.2982499599456787,24.04,95.31,24.47
2020-09-22,3.242500066757202,23.65,94.27,23.94
2020-09-23,3.240000009536743,22.83,92.74,23.26
2020-09-24,3.1459999084472656,23.32,92.66,23.34
2020-09-25,3.168750047683716,23.64,93.47,23.49
2020-09-28,3.313499927520752,23.82,96.16,24.09
2020-09-29,3.2437500953674316,23.26,95.35,23.77
2020-09-30,3.308500051498413,23.51,96.27,24.09
2020-10-01,3.3182499408721924,23.56,96.97,24.1
2020-10-02,3.3602499961853027,23.99,97.89,24.21
2020-10-05,3.5087499618530273,24.45,99.04,24.62
2020-10-06,3.600500106811523,24.18,98.02,24.37
2020-10-07,3.5934998989105225,24.81,99.73,24.88
2020-10-08,3.6137499809265137,25.3,101.78,25.24
2020-10-09,3.6377499103546143,25.3,101.2,25.36
2020-10-12,3.6549999713897705,25.68,102.44,25.68
2020-10-13,3.584749937057495,24.74,100.78,24.95
2020-10-14,3.5394999980926514,23.25,100.22,23.62
2020-10-15,3.516249895095825,22.95,101.72,24.15
2020-10-16,3.5672500133514404,22.86,101.51,24.24
2020-10-19,3.564500093460083,22.54,99.8,23.72
2020-10-20,3.601249933242798,22.81,100.37,24.14
2020-10-21,3.592250108718872,22.7,99.37,24.05
2020-10-22,3.669749975204468,23.25,102.88,24.87
2020-10-23,3.7260000705718994,23.28,103.81,24.9
2020-10-26,3.6489999294281006,22.7,101.24,24.54
2020-10-27,3.590749979019165,21.82,99.33,23.85
2020-10-28,3.5147500038146973,21.18,96.54,23.47
2020-10-29,3.490999937057495,21.14,97.17,23.54
2020-10-30,3.552000045776367,21.45,98.04,23.7
2020-11-02,3.696000099182129,21.9,100.25,24.08
2020-11-03,3.807499885559082,22.09,103.41,24.69
2020-11-04,3.635499954223633,21.88,100.25,23.68
2020-11-05,3.6992499828338623,22.33,104.35,24.61
2020-11-06,3.700000047683716,21.91,102.96,24.31
2020-11-09,4.087500095367432,24.22,116.9,27.76
2020-11-10,4.173250198364258,24.19,116.52,27.66
2020-11-11,4.10099983215332,24.19,114.78,27.34
2020-11-12,4.019000053405762,23.81,113.37,26.69
2020-11-13,4.0920000076293945,24.07,114.08,27.0
2020-11-16,4.2542500495910645,24.9,117.3,27.58
2020-11-17,4.198999881744385,25.04,116.11,27.55
2020-11-18,4.287749767303467,25.06,115.25,26.98
2020-11-19,4.151750087738037,26.16,115.56,26.98
2020-11-20,4.133749961853027,25.48,114.57,26.81
2020-11-23,4.246500015258789,26.3,117.87,27.39
2020-11-24,4.420000076293945,28.61,123.32,28.98
2020-11-25,4.394499778747559,28.59,122.03,29.03
2020-11-27,4.3379998207092285,28.46,121.22,28.99
2020-11-30,4.288750171661377,27.35,117.88,28.16
2020-12-01,4.347249984741211,28.06,119.74,28.69
2020-12-02,4.369750022888184,28.87,122.04,29.06
2020-12-03,4.412749767303467,29.16,121.24,28.91
2020-12-04,4.453499794006348,29.55,122.34,29.29
2020-12-07,4.448249816894531,29.34,121.88,29.09
2020-12-08,4.439000129699707,28.94,122.0,28.93
2020-12-09,4.441500186920166,29.05,121.05,28.8
2020-12-10,4.452499866485596,29.49,120.27,29.11
2020-12-11,4.423749923706055,29.08,119.56,28.57
2020-12-14,4.389500141143799,28.64,118.3,28.22
2020-12-15,4.430500030517578,29.73,120.32,28.64
2020-12-16,4.465000152587891,29.65,120.67,28.72
2020-12-17,4.453000068664551,29.47,119.67,28.83
2020-12-18,4.4292497634887695,29.01,119.08,28.67
2020-12-21,4.4407501220703125,29.55,123.55,29.74
2020-12-22,4.447500228881836,28.96,121.67,29.21
2020-12-23,4.557499885559082,30.35,125.07,30.05
2020-12-24,4.585999965667725,29.84,124.52,29.96
2020-12-29,4.52400016784668,29.78,125.01,30.01
2020-12-30,4.550749778747559,29.75,125.36,29.98
2020-12-31,4.55649995803833,30.18,127.07,30.31
2021-01-04,4.544750213623047,29.7,125.87,30.03
2021-01-05,4.588500022888184,30.53,125.65,30.26
2021-01-06,4.962500095367432,32.69,131.55,32.15
2021-01-07,5.109499931335449,33.43,135.87,32.86
2021-01-08,5.0032501220703125,33.19,136.02,32.53
2021-01-11,5.051000118255615,33.24,138.05,33.07
2021-01-12,5.178999900817871,33.94,140.22,33.66
2021-01-13,5.107500076293945,33.8,140.35,33.46
2021-01-14,5.208000183105469,34.75,141.17,33.99
2021-01-15,5.080999851226807,32.04,138.64,33.01
